idx,period,amplitude,R21,phase_dif,class
114,25.165,0.519,0.185,4.238,1
115,1.9168,0.052000000000000005,0.821,6.561,0
116,0.3603,0.141,0.048,8.546,1
117,3.0354,0.054000000000000006,0.292,4.886,1
118,0.6581,0.38,0.611,6.287999999999999,0
119,0.9294,0.079,0.018000000000000002,5.319,1
120,0.7975,0.433,0.639,6.315,0
121,0.2938,0.441,0.33,6.401,0
122,3.4101,0.096,0.064,2.937,1
123,44.5283,0.435,0.284,5.056,1
124,1.7448,0.052000000000000005,0.545,6.236000000000001,0
125,1.7447,0.511,0.501,6.207000000000001,0
126,2.9816,0.045,0.626,5.504,1
127,2.2503,0.066,1.001,6.098,0
128,12.2995,0.132,0.16399999999999998,3.127,1
129,2.5242,0.078,0.816,6.251,0
130,0.813,0.391,0.757,6.2989999999999995,0
131,0.8037,0.271,0.652,6.282,0
132,1.6123,0.249,0.795,6.343999999999999,0
133,0.9583,0.309,0.778,6.143,0
134,0.4726,0.19699999999999998,0.319,6.278,0
135,0.6007,0.198,0.439,6.287000000000001,0
136,3.1507,0.201,0.035,3.721,1
137,0.9162,0.10400000000000001,0.065,5.522,1
138,5.2104,0.087,0.27699999999999997,6.0489999999999995,0
139,65.6393,0.526,0.129,3.5810000000000004,1
140,1.5562,0.083,0.5710000000000001,6.311,0
141,2.4281,0.040999999999999995,0.039,6.125,1
142,0.2267,0.159,0.204,6.075,0
143,1.7255,0.133,0.76,6.156000000000001,0
144,0.1685,0.038,0.081,3.24,1
145,4.9746,0.392,0.36200000000000004,4.632,1
146,3.484,0.033,0.166,2.779,1
147,13.1962,0.094,0.042,6.099,1
148,1.7097,0.142,0.44,6.2620000000000005,0
149,6.2466,0.057999999999999996,0.214,5.3260000000000005,1
150,8.9123,0.125,0.18100000000000002,6.192,0
151,1.4968,0.115,0.745,6.25,0
152,1.8467,0.677,0.541,6.235,0
153,2.6699,0.076,0.096,4.654,1
154,17.1298,0.08,0.444,6.65,0
155,7.9123,0.087,0.126,6.527,1
156,0.6132,0.335,0.35700000000000004,6.307,0
157,0.6824,0.07400000000000001,0.345,7.438,1
158,1.474,0.17800000000000002,0.635,6.199,0
159,1.1953,0.107,0.081,5.794,1
160,6.8032,0.038,0.316,6.796,1
161,7.004,0.11,0.079,6.421,1
162,4.2127,0.155,1.036,6.396,0
163,0.2228,0.37,0.141,6.267,0
164,31.0797,0.19,0.16,5.681,1
165,3.3344,0.402,0.321,4.415,1
166,4.4258,0.033,0.099,4.684,1
167,5.8924,0.276,0.35200000000000004,4.925,1
168,5.8949,0.052000000000000005,0.47200000000000003,5.052,1
169,0.6585,0.047,0.325,2.4730000000000003,1
170,1.4031,0.033,0.08800000000000001,8.176,1
171,9.6545,0.244,0.971,6.1610000000000005,0
172,0.7316,0.06,0.7659999999999999,6.341,0
173,2.1078,0.122,0.72,6.365,0
174,0.4461,0.048,0.5760000000000001,6.046,0
175,2.2155,0.03,0.324,6.3260000000000005,1
176,1.497,0.35700000000000004,0.406,6.255,0
177,1.6143,0.25,0.45899999999999996,6.2170000000000005,0
178,1.7142,0.048,0.035,7.857,1
179,1.8435,0.321,0.528,6.261,0
180,2.5369,0.028999999999999998,0.336,6.752000000000001,1
181,11.3685,0.092,0.133,3.7110000000000003,1
182,8.2181,0.139,0.124,5.05,1
183,1.957,0.308,0.44299999999999995,6.274,0
